# EXPERIMENT EM181A  
# CH01 1626.49 LSB 32.00 RCP 
# CH02 1626.49 LSB 32.00 LCP 
# CH03 1626.49 USB 32.00 RCP 
# CH04 1626.49 USB 32.00 LCP 
# POL XY 
# CAL_PREFIX scan cal 
J0408-6545 | PKS 0408-65 | PKS 0407-65, radec bfcal single_accumulation, 04:08:20.37884, -65:45:09.0806, (850.0 1720.0 66.46 -62.7 20.46 -2.265), scan cal00, 2025-02-22 11:47:00.000, 240 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0084, 2025-02-22 11:54:00.000, 180 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0085, 2025-02-22 11:57:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0086, 2025-02-22 12:01:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0087, 2025-02-22 12:02:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0088, 2025-02-22 12:05:30.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0089, 2025-02-22 12:07:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0090, 2025-02-22 12:11:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0091, 2025-02-22 12:12:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0092, 2025-02-22 12:15:30.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0093, 2025-02-22 12:17:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0094, 2025-02-22 12:21:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0095, 2025-02-22 12:22:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0096, 2025-02-22 12:25:30.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0097, 2025-02-22 12:27:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0098, 2025-02-22 12:31:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0099, 2025-02-22 12:32:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0100, 2025-02-22 12:35:30.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0101, 2025-02-22 12:37:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0102, 2025-02-22 12:41:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0103, 2025-02-22 12:42:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0104, 2025-02-22 12:45:30.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0105, 2025-02-22 12:47:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0106, 2025-02-22 12:51:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0107, 2025-02-22 12:52:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0108, 2025-02-22 12:55:30.000, 90 
*3C48 | J0137+3309 | 0134+329 | J0137+33, radec, 01:37:41.2995122, 33:09:35.133861, (), scan No0110, 2025-02-22 13:03:00.000, 180 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0111, 2025-02-22 13:08:30.000, 180 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0112, 2025-02-22 13:11:30.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0113, 2025-02-22 13:15:30.000, 60 
