# EXPERIMENT ES116A 
# CH01 1626.49 LSB 32.00 RCP 
# CH02 1626.49 LSB 32.00 LCP 
# CH03 1626.49 USB 32.00 RCP 
# CH04 1626.49 USB 32.00 LCP 
# POL XY 
# CAL_PREFIX scan cal 
J0408-6545 | PKS 0408-65 | PKS 0407-65, radec bfcal single_accumulation, 04:08:20.37884, -65:45:09.0806, (850.0 1720.0 66.46 -62.7 20.46 -2.265), scan cal00, 2025-03-02 19:26:00.000, 240 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0035, 2025-03-02 19:33:00.000, 90 
*G2, radec, 10:29:12.5700000, 26:23:32.840000, (), scan No0036, 2025-03-02 19:34:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0037, 2025-03-02 19:40:30.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0038, 2025-03-02 19:42:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0039, 2025-03-02 19:46:00.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0040, 2025-03-02 19:47:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0041, 2025-03-02 19:53:30.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0042, 2025-03-02 19:55:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0043, 2025-03-02 19:59:00.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0044, 2025-03-02 20:00:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0045, 2025-03-02 20:06:30.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0046, 2025-03-02 20:08:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0047, 2025-03-02 20:12:00.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0048, 2025-03-02 20:13:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0049, 2025-03-02 20:19:30.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0050, 2025-03-02 20:21:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0051, 2025-03-02 20:25:00.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0052, 2025-03-02 20:26:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0053, 2025-03-02 20:32:30.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0054, 2025-03-02 20:34:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0055, 2025-03-02 20:38:00.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0056, 2025-03-02 20:39:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0057, 2025-03-02 20:45:30.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0058, 2025-03-02 20:47:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0059, 2025-03-02 20:51:00.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0060, 2025-03-02 20:52:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0061, 2025-03-02 20:58:30.000, 90 
*G2, radec, 10:29:12.5700000, 26:23:32.840000, (), scan No0062, 2025-03-02 21:00:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0063, 2025-03-02 21:04:00.000, 90 
*G2, radec, 10:29:12.5700000, 26:23:32.840000, (), scan No0064, 2025-03-02 21:05:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0065, 2025-03-02 21:11:30.000, 90 
*4C39.25, radec, 09:27:03.0139340, 39:02:20.851860, (), scan No0066, 2025-03-02 21:15:30.000, 360 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0067, 2025-03-02 21:24:00.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0068, 2025-03-02 21:25:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0069, 2025-03-02 21:29:30.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0070, 2025-03-02 21:31:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0071, 2025-03-02 21:37:00.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0072, 2025-03-02 21:38:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0073, 2025-03-02 21:42:30.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0074, 2025-03-02 21:44:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0075, 2025-03-02 21:50:00.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0076, 2025-03-02 21:51:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0077, 2025-03-02 21:55:30.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0078, 2025-03-02 21:57:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0079, 2025-03-02 22:01:00.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0080, 2025-03-02 22:02:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0081, 2025-03-02 22:06:30.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0082, 2025-03-02 22:08:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0083, 2025-03-02 22:14:00.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0084, 2025-03-02 22:15:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0085, 2025-03-02 22:19:30.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0086, 2025-03-02 22:21:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0087, 2025-03-02 22:27:00.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0088, 2025-03-02 22:28:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0089, 2025-03-02 22:32:30.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0090, 2025-03-02 22:34:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0091, 2025-03-02 22:40:00.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0092, 2025-03-02 22:41:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0093, 2025-03-02 22:45:30.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0094, 2025-03-02 22:47:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0095, 2025-03-02 22:53:00.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0096, 2025-03-02 22:54:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0097, 2025-03-02 22:58:30.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0098, 2025-03-02 23:00:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0099, 2025-03-02 23:06:00.000, 90 
*G2, radec, 10:29:12.5700000, 26:23:32.840000, (), scan No0100, 2025-03-02 23:07:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0101, 2025-03-02 23:11:30.000, 90 
*G2, radec, 10:29:12.5700000, 26:23:32.840000, (), scan No0102, 2025-03-02 23:13:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0103, 2025-03-02 23:19:00.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0104, 2025-03-02 23:20:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0105, 2025-03-02 23:24:30.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0106, 2025-03-02 23:26:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0107, 2025-03-02 23:32:00.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0108, 2025-03-02 23:33:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0109, 2025-03-02 23:37:30.000, 90 
*J1029B, radec, 10:29:14.2500000, 26:23:40.160000, (), scan No0110, 2025-03-02 23:39:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0111, 2025-03-02 23:45:00.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0112, 2025-03-02 23:46:30.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0113, 2025-03-02 23:50:30.000, 90 
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0114, 2025-03-02 23:52:00.000, 210 
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0115, 2025-03-02 23:56:00.000, 90  
